,Category,Document Title,Authors,Publication Title,Publication Year,Abstract,Author Keywords,IEEE Terms,Document Identifier
41,"['Performance Analysis (PA)', 'Product Development (PD)', 'Integration (I)']",Research and application of OPC UA server based on resource constrained platform STM32,"['L. Fangjian', ' Z. Yanlin', ' W. Zhen']",2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT),2021,"In view of the rapid development trend of intelligent manufacturing and the application status of OPC UA protocol in the field of intelligent manufacturing, the requirement of building OPC UA server on resource constrained platform is proposed. By building STM32 platform and FreeRTOS system environment, the transplantation and operation of OPC UA protocol stack in resource limited platform are realized, the main memory space occupied by OPC UA protocol stack is analyzed, and the implementation path is proposed for later optimization. Through experimental verification, the OPC UA protocol stack runs on the resource limited platform, and the server can be widely used and popularized in the resource limited platform.",Limited resources;OPC UA server;SDK;Embedded system,Protocols;Power demand;Buildings;Market research;Stability analysis;Manufacturing;Safety,IEEE Conferences
42,"['Theory (T)', 'Others (O)']",Transforming OPC UA Information Models into Domain-Specific Ontologies,"['G. Steindl', ' W. Kastner']",2021 4th IEEE International Conference on Industrial Cyber-Physical Systems (ICPS),2021,"Semantics interoperability is important for cyber-physical systems to enable complex data processing and facilitating interworking. OPC Unified Architecture (OPC UA) provides an extensible information model but lacks formal semantics. Ontologies based on the Web Ontology Language (OWL) can provide such formal semantics. Thus, we present a transformation approach that converts OPC UA information models (or only parts of them) into domain-specific ontologies. The transformation process consists of two steps. The first step is a mapping from OPC UA to OWL Full. The second step performs a graph transformation, based on SPARQL rules, into the domain-specified target ontology. The adaption of this transformation to the source information model and the target ontology can be accomplished by only adapting these transformation rules. The presented approach is evaluated for a use case of an industrial heating process to show its flexibility.",information modeling;ontology;model transformation;OPC UA,Heating systems;Adaptation models;Conferences;Semantics;OWL;Ontologies;Cyber-physical systems,IEEE Conferences
43,"['Wireless Communication (W)', 'Integration (I)']",TSN Traffic Shaping for OPC UA Field Devices,"['A. Gogolev', ' R. Braun', ' P. Bauer']",2019 IEEE 17th International Conference on Industrial Informatics (INDIN),2019,"This paper extends research on TSN enablement for OPC UA field devices, comparing the impact of credit-based and time-aware traffic shapers. Despite conceptual difference, these traffic shaping methods can provide similar bandwidth reservation for high priority traffic. The two shapers are superposed with varying traffic limitations to assess the timing characteristics of the OPC UA data exchange using a resource-constrained field device.",TSN;OPC UA;IoT;IIoT;Real-Time;Industrial Automation,,IEEE Conferences
44,['Integration (I)'],A proposal to make OCF and OPC UA interoperable,"['S. Cavalieri', ' M. S. Scroppo']",2018 IEEE International Conference on Industrial Technology (ICIT),2018,The paper presents a mapping between the Open Connectivity Foundation (OCF) Resource Model and the OPC UA Information Model. The mapping may allow to enable the interoperability between the OCF and OPC UA specifications. The proposal is original as current literature does not provide for such kind of integration.,OPC UA;OCF;Interoperability;I4.0;IoT,Interoperability;Standards;Protocols;Data models;Servers;Proposals;Industries,IEEE Conferences
45,['Others (O)'],Web-Platform for Developing Man-Machine Interfaces Based on OPC UA,"['A. V. NuÃ±ez', ' P. Encalada', ' C. A. Garcia', ' J. R. Guilcapi', ' M. V. Garcia']",2019 IEEE Fourth Ecuador Technical Chapters Meeting (ETCM),2019,"The fields that have had more development in recent years have been web development and automation as a result of the emergence of new technologies such as the Internet of Things and Industry 4.0. That is why it shows a proposal for a web platform for the creation of Man-Machine Interfaces (MMI) at low-cost and high-performance based on the ISA 101 standard. All of these thanks to the advantages that new technologies such as HTML, CSS, and JavaScript have provided in the field of the development of mobile applications and for the integration of information from the shop floor using the OPC UA protocol. The proposed platform may be used by web-users to exchange data with OPC UA Server without any knowledge of the standard.",Man-Machine Interface (MMI);OPC UA;Web development;Internet of Things (IoT);Industry 4.0,Protocols;Monitoring;Servers;Standards;Instruments;Industries;Internet of Things,IEEE Conferences
46,['Product Development (PD)'],Dynamic Adjustment Mechanism based on OPC-UA Architecture for IIoT Applications,"['Y. H. Lai', ' Y. -H. Huang', ' C. F. Lai', ' S. Y. Chen', ' Y. -C. Chang']","2020 Indo â€“ Taiwan 2nd International Conference on Computing, Analytics and Networks (Indo-Taiwan ICAN)",2020,"In much smart Industry Internet of Things (IIoT) applications, there are many emergencies information processing e.g. fire and urgent accidents. However, when data which is from different source and format is lack of collation, integration and preprocess, the server loading will be too heave to process the information on time. This study mainly proposes to establish an Open Platform Communications Unified Architecture (OPC UA) architecture system for IIoT application design and introduces a dynamic node adjustment mechanism to be applied under the OPC UA architecture. The dynamic adjustment node is designed with network bandwidth monitor to solve the problem of excessive network load caused by emergency information transmission in the IIoT applications.",OPC UA;IIoT applications;dynamitic node adjustment,Servers;Computer architecture;Delays;Industries;Internet of Things;Monitoring;Protocols,IEEE Conferences
47,['Security (S)'],Research on OPC UA Security Encryption Method,"['Z. Luo', ' X. Zhang']","2020 IEEE International Conference on Information Technology,Big Data and Artificial Intelligence (ICIBA)",2020,"With the continuous development of the internet, the existing risk coefficient in it is also rising. The original defense system has been unable to effectively resist the current risk. Illegal network monitoring, network intrusion attack, theft, tampering, network terrorism and other illegal criminal activities are flooding the whole network space in different degrees, which may bring security threats and economic losses to enterprises and individuals at any time. And with the development of industrial informatization, the data in the process of industrial production needs to be shared or users can see the production data at any time, so the security of data in the transmission process becomes a problem. At present, the OPC UA protocol is used by the devices in the factory when they interact with each other. This paper mainly studies the security status and communication efficiency of OPC UA. The communication efficiency here is mainly the encryption efficiency of the encryption algorithm, which improves the communication efficiency by improving the encryption efficiency.",OPC UA;Hybrid encryption algorithm;Cyber Security;Communication efficiency,Security;Servers;Viruses (medical);Software;Computer viruses;Encryption;Trojan horses,IEEE Conferences
48,['Protocol Comparison (PC)'],An industrial feedback on the use of OPC UA for the vertical integration of semiconductor front-ends,"['F. R. Golra', ' M. Engel']",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),2021,"As manufacturing, in general, is adopting Industry 4.0, OPC UA is gaining traction to become the de facto architecture for overcoming the issues of interoperability. Even though semiconductor equipment manufacturers need to comply with the existing and now mature SEMI11SEMI is a semiconductor association that defines standards. All SEMI standards referenced in this article are accessible at https://www.semi.org standards, it is worthwhile to explore the possibilities of harmonizing them with other automation standards. Following the same motivation, OPC Foundation has developed standardized companion specifications for different other standards like ISA-95, PROFINET, IO-Link, etc. In the absence of a companion specification for semiconductor industry, this work compares the architectural choices for the development of an information model for semiconductor industry. We share the lessons learned from our endeavors in implementing OPC UA information models for semiconductor domain.",OPC UA;SECS II;GEM;vertical integration,Semiconductor device modeling;Protocols;Web services;Conferences;Electronics industry;Standards;Interoperability,IEEE Conferences
49,['Product Development (PD)'],An OPC UA Multi-Server Aggregator with Cache Management,"['H. Wang', ' Y. Ma', ' F. Yu']",2018 Chinese Automation Congress (CAC),2018,"OPC UA (Object Linking and Embedding for Process Control Unified Architecture) has drawn extensive attention in Industrial Internet of Things (IIOT), for it enables secure data exchanges between different operating systems and devices. In the field of industrial control, the applications of OPC UA are gradually extended to the field layer, which adopt the popular client-server interaction model. However, as the number of underling servers increases, the management of the upper layer becomes more difficult. Moreover, there are few kinds of software supporting OPC UA multi-server aggregation currently and they lack effective cache management capability. In order to solve these problems, we design an OPC UA multi-server aggregator with cache management, which enables centralized management of underlying data. Test results show that the proposed aggregator effectively improves the communication efficiency.",OPC UA;multi-server aggregator;cache management,Servers;Computer architecture;Indexes;Operating systems;Complexity theory;Internet of Things,IEEE Conferences
50,"['Product Development (PD)', 'Performance Analysis (PA)']",Conceptual Framework of Smart Factory Based on OPC UA and LSTM Encoder-Decoder,"['X. Wen', ' H. Chen', ' B. Wen', ' J. Liu', ' Y. Li', ' N. Xi']","2018 IEEE 1st International Conference on Micro/Nano Sensors for AI, Healthcare, and Robotics (NSENS)",2018,"OPC UA (Open Platform Communications Unified Architecture) is key for multi-heterogeneous software and hardware information integration. Some studies have proposed to apply OPC UA to smartfactory information integration, but most tend to propose concepts and lack application research. While, LSTM Encoder-Decoder (Long Short-Term Memory based Encoder-decoder) is an unsupervised learning method not requiring labeled data. It has good performance in time series data analysis, but few researches relate it with smart factory predictive analysis. This paper proposed a conceptual framework of smart factory based on OPC UA and LSTM Encoder-Decoder technology. Specifically, first, the theories are discussed including the general architecture of smart factory, information integration architecture based on OPC UA and LSTM Encoder-decoder model for smart factory predictive analysis. Then, we introduced the simulation result analysis. Finally, the conclusion was given.",smart factory;opc ua;lstm encoder-decoder;information integration;predictive analysis,Smart manufacturing;Robots;Computer architecture;Servers;Software;Sensors;Analytical models,IEEE Conferences
51,"['Product Development (PD)', 'Others (O)']",Design and Implementation of the Substation Intelligent Auxiliary Control System Based on OPC UA,"['C. Zhu', ' B. Li', ' Z. Lv', ' X. Zhao']",2022 5th International Conference on Renewable Energy and Power Engineering (REPE),2022,"At present, the traditional substation auxiliary control system is faced with the following four problems: poor real-time capability to abnormal response, high dependence on people when solving malfunctions, the communication, deployment and expansion of different underlying devices, and the lack of security mechanism. To solve these problems or optimize the functions, an intelligent substation auxiliary control system is proposed. The system innovatively applies OPC UA to the construction of the auxiliary control system. First, through the use of OPC UA's unique object-oriented modeling method as well as the joint specification modeling of OPC UA and IEC61850, to solve the data communication problems caused by heterogeneous devices. Second, applying the Client/Server mode to realize the remote access from authorized mobile clients and give instructions, to cope with abnormal conditions, which reduces the dependency on people. Clients of other authorized enterprises are allowed to access the working data of the devices they are interested in, makes full use of massive data and ensures the information security of the system. Third, Pub/Sub mode is applied to enable the underlying devices to communicate directly with each other through the middleware, which reduces the response time of equipment joint debugging and improve the real-time performance. In addition, through OPC UA, the industrial data of the system can be transmitted over the Internet, realizing the combination of the Internet of Things and the Internet, which is an idea of the combination of the two in the future.",auxiliary control system;Client/Server;information security;information modeling;OPC UA,Performance evaluation;Renewable energy sources;Power engineering;Substations;Object oriented modeling;Control systems;Real-time systems,IEEE Conferences
52,"['Diagnostic and Monitoring (DM)', 'Product Development (PD)', 'Others (O)']",Cross-Platform Device Monitoring System Based on OPC UA,"['W. Chen', ' P. Wang']",2022 11th International Conference of Information and Communication Technology (ICTech)),2022,"With the development of data monitoring system for industrial equipment, the convenience of data monitoring is paid more and more attention. Traditional data monitoring mostly uses specialized software or visual interface on the device to achieve the purpose of monitoring data, the workflow will be more complex. Even if there is a unified device to receive the data, it is not realistic to monitor all the time. In addition, for the load problem of the micro device, mounting the OPC UA client by itself is heavy. Therefore, in order to improve the visibility of field device data, reduce the load of micro devices and simplify the complex workflow, this paper studies the cross-platform device monitoring system based on OPC UA. The local OPC UA server is used to collect data from industrial devices, and the collected data is processed and transferred to the cloud storage system. The stateless RESTful HTTP request style simplifies the complexity of implementing data transfer between a generic client (browser or other HTTP client) and a Web server, and truly enables users to monitor data anytime and anywhere without consuming too many resources.",OPC UA;web platform;RESTful;Publish/subscribe;cross platform,Visualization;Protocols;Industrial control;Writing;Web servers;Software;Real-time systems,IEEE Conferences
53,['Integration (I)'],Enabling Plug&Play Cyber-Physical Systems Using Knowledge-Driven OPC UA Discovery,"['V. JirkovskÃ½', ' P. Kadera', ' M. Obitko']",2019 IEEE 5th World Forum on Internet of Things (WF-IoT),2019,"Industrial automation domain is changing rapidly in recent years. It is very important in the involvement of technologies such as Cyber-Physical Systems. They are based on interoperable devices. On the other hand, it is difficult to find a suitable format and mechanism for successful communication of devices. One of the important requirements is to find a specific device as a demanded counterpart for communication. In this paper, we will show that the integration of OPC UA standard and Semantic Web technologies provides an interesting solution.",Cyber-Physical System;Ontology;Discovery;OPC UA;Industrial Internet of Things,Servers;Semantics;Ontologies;Big Data;Cyber-physical systems;Standards;Actuators,IEEE Conferences
54,"['Performance Analysis (PA)', 'Integration (I)']",Towards Performance Benchmarking of Cyclic OPC UA PubSub over TSN,"['S. GrÃ¼ner', ' A. E. Gogolev', ' J. Heuschkel']",2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),2022,"PubSub is a recent introduction to a widely-accepted industrial communication protocol OPC UA. It is driven by OPC Foundation Field eXchange group (ex-FLC, ex-Shapers) to enable real-time OPC UA over TSN for cyclic communication in industrial automation. Furthermore, evolution of Soft Programmable Logic Controllers (PLC) to Virtual PLCs entails a wider use of software stacks and applications expected to provide necessary level of performance, which might be influenced by various configuration options of the application, the OPC UA stack, and the underlying operating system. In this work we address this issue with an experimental setup for benchmarking of cyclic PubSub applications using commercial off-the-shelf (COTS) hardware and a state-of-the-art open-source OPC UA PubSub stack. Experimental results show achievable jitter and cycle times for different message sizes, SDK options, and OS configurations.",IoT;IIoT;Industrial Automation;OPC UA;Industry 4.0;IEEE TSN;Real-time,Protocols;Operating systems;Programmable logic devices;Industrial communication;Benchmark testing;Jitter;Software,IEEE Conferences
55,"['Theory (T)', 'Others (O)']",Reasoning over OPC UA Information Models using Graph Embedding and Reinforcement Learning,"['J. Bakakeu', ' F. SchÃ¤fer', ' J. Franke', ' S. Baer', ' H. -H. Klos', ' J. Peschke']",2020 Third International Conference on Artificial Intelligence for Industries (AI4I),2020,"With the fourth industrial revolution, the OPC Unified Architecture (OPC UA) has emerged as the standard communication framework for the implementation of cyber-physical production systems since it can be used for both, communication and information modeling. Even though OPC UA helps bridge the interoperability gap at the automation level, its semantic has not yet been formally defined and generated or manually created OPC UA information models are often incomplete and inconsistent making an efficient automated reasoning and knowledge inference on the OPC UA address space particularly challenging.In this paper, we show that it is possible to train a machine learning system on OPC UA information models, such that it performs automated reasoning over OPC UA knowledge graphs with high precision and recall. More specifically, we present a reinforcement learning based solution that learns to reason on semantically incomplete OPC UA information models by constructing multi-hop relational paths along an embedded vector space of the knowledge graph representing the information model. The construction of such relational paths allows the discovery of missing relations between the entities and at the same time the evaluation of the truth of the encoded triples, thus enabling consistency checks and questions answering.",OPC UA;machine learning;graph embedding;knowledge inference;reinforcement learning;multi-hop reasoning;link prediction;entity relation extraction,Production systems;Semantics;Reinforcement learning;Predictive models;Knowledge discovery;Cognition;Standards,IEEE Conferences
56,['Others (O)'],Towards building OPC-UA companions for semi-conductor domain,"['S. Azaiez', ' F. Tanguy', ' M. Engel']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"Semi-conductor industry have been handling for decades some of Industry 4.0 concepts mainly related to the remote control and the monitoring of the equipment and devices. In such industries, production jobs are launched on aggregated set of equipment responsible of the execution of the production process. Each equipment is controlled by a host. Such configurations allow the semi-conductor fabs to be highly flexible since jobs are not constrained to a single machine and a single machine can process several times the same product. SECS/GEM (SEMI Equipment Communications Standard/Generic Equipment Model) standards define the minimum specifications for the equipment/host interfaces. In this paper, we assess SECS/GEM standards against Industry 4.0 communication architecture OPC-UA. We show the complementarity between both standards and propose an approach to translate the specifications stacks of SECS/GEM standards towards OPC-UA information models. We first build UML models from which we generate services that must be exhibited by the host and the equipment interfaces and then we generate from these UML models specific OPC-UA address space model for SECS/GEM that will be deployed on OPC-UA servers and accessible by OPC-UA clients.",Semi-conductor industry;SECS-GEM Standards;OPC-UA Information Models;Industry 4.0,,IEEE Conferences
57,"['Performance Analysis (PA)', 'Integration (I)']",Hardware Implementation of an OPC UA Server for Industrial Field Devices,"['H. Bauer', ' S. HÃ¶ppner', ' C. Iatrou', ' Z. Charania', ' S. Hartmann', ' S. U. Rehman', ' A. Dixius', ' G. Ellguth', ' D. Walter', ' J. Uhlig', ' F. NeumÃ¤rker', ' M. Berthel', ' M. Stolba', ' F. Kelber', ' L. Urbas', ' C. Mayr']",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2021,"Industrial plants suffer from a high degree of complexity and incompatibility in their communication infrastructure, caused by a wild mix of proprietary technologies. This prevents transformation toward Industry 4.0 and the Industrial Internet of Things. Open platform communications unified architecture (OPC UA) is a standardized protocol that addresses these problems with uniform and semantic communication across all levels of the hierarchy. However, its adoption in embedded field devices, such as sensors and actuators, is still lacking due to prohibitive memory and power requirements of software implementations. We have developed a dedicated hardware engine that offloads processing of the OPC UA protocol and enables the realization of compact and low-power field devices with OPC UA support. As part of a proof-of-concept embedded system, we have implemented this engine in a 22-nm FDSOI technology, representing the first ASIC implementation of an OPC UA server. We measured performance, power consumption, and memory footprint of our test chip and compared it with a software implementation based on open62541 and a Raspberry Pi 2B. Our OPC UA hardware engine is 50 times more energy efficient and only requires 36 KiB of memory. The complete system consumes only 24 mW under full load, making it suitable for low-power embedded applications.",FDSOI;field devices;industrial automation;Internet of Things;open platform communications unified architecture (OPC UA),Engines;Software;Random access memory;Hardware;Servers;Semiconductor device measurement;Semantics,IEEE Journals
58,"['Protocol Comparison (PC)', 'Performance Analysis (PA)']",Performance Comparison Between OPC UA and MQTT for Data Exchange,"['M. Silveira Rocha', ' G. Serpa Sestito', ' A. Luis Dias', ' A. Celso Turcato', ' D. BrandÃ£o']",2018 Workshop on Metrology for Industry 4.0 and IoT,2018,"With the new concepts brought by the Industry 4.0 and the Internet of Things (IoT), it is expected more equipment communicating with each other, using local and cloud computing servers. In order to the communication between the devices be efficient, fast and with time deterministic, it is necessary to choose a suitable network protocol. In this context, the article presents the performance comparison of quantity of used data and time spent to send and receive messages in two well-known protocols in the field of IoT and Industrial loT (IIoT): MQTT and OPC UA. The obtained values show the advantages of using each protocol in several scenarios, in order to exploit the best data exchange between devices.",OPC UA;MQTT;M2M;IoT;Industry 4.0;Procotol Comparison;Data Exchange,Protocols;Quality of service;Servers;Payloads;Object oriented modeling;Industries;Data models,IEEE Conferences
59,"['Protocol Comparison (PC)', 'Integration (I)']",Design and Implementation of OPC UA Server Based on SECS/GEM Protocol,"['Y. Sun', ' X. Peng', ' M. Zhu', ' D. Jiao', ' S. Fuyang']",2021 International Conference on Wireless Communications and Smart Grid (ICWCSG),2021,"In order to solve the problem of incompatibility of communication data between semiconductor manufacturing industry and other automation industries, a design scheme of OPC UA server development based on SEMI Equipment Communications Standard/Generic Model for Communications (SECS/GEM) was proposed. The design idea and workflow of the whole system are described in detail. After testing, the server has completed real-time communication with the third-party SECS/GEM equipment simulation software and UA client, and solved the problem that the data message in the communication process of semiconductor equipment is not compatible with OPC UA specification.",Communication protocol;SECS/GEM;Equipment simulation;OPC UA;Server,Wireless communication;Semiconductor device modeling;Protocols;Production;Software;Real-time systems;Data models,IEEE Conferences
60,"['Protocol Comparison (PC)', 'Performance Analysis (PA)']",Real-time Industrial Communication by using OPC UA Field Level Communication,"['S. K. Panda', ' M. Majumder', ' L. Wisniewski', ' J. Jasperneite']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"Real-time behaviour is one of the most important aspects of field level automation networks in factory communication. Various Real-Time Ethernet (RTE) technologies have been developed over the years to cope with the network requirements like latency, Quality-of-Service (QoS), reliability etc. of the field level networks. Because of their nature of vendor-dependency, these technologies have been incompatible with one another. In the era of Industry 4.0, an innovative approach is required to bring together this technology in order to solve the interoperability issue. Open Platform Communication Unified Architecture (OPC UA) is a vendor-neutral communication protocol which can be an answer to this incompatibility problem of field level factory networks. This paper aims to use OPC UA as a field level communication protocol in combination with the Time-sensitive networking (TSN) standards to simulate the real-time behaviour of field network.",OPC UA;TSN;Field level network;OMNeT++;Pub-sub;Real-time,Protocols;Quality of service;Jitter;Real-time systems;Libraries;Production facilities;Servers,IEEE Conferences
61,['Others (O)'],Modelling Industrial Cyber-Physical Systems using IEC 61499 and OPC UA,"['W. Dai', ' Y. Song', ' Z. Zhang', ' P. Wang', ' C. Pang', ' V. Vyatkin']",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),2018,"Industrial Cyber-Physical Systems (iCPS) are considered as the enabling technology for achieve Industry 4.0. One main characteristic of the iCPS is the information transparency to allow interoperability among various devices and systems. The OPC UA provides a common information model for connecting Industry 4.0 components. On the other hand, the IEC 61499 is commonly used as an executable modeling language for iCPS. The IEC 61499 function block network provides an abstract view of the system configuration. By combining IEC 61499 and OPC UA, a visual executable model for iCPS is completed. In this paper, the mapping between two standards are provided and a case study of the proposed mapping is given.",Industrial Cyber-Physical Systems;Executable Modelling Language;IEC 61499 Function Blocks;OPC-UA;Interoperability,IEC Standards;Sockets;Plugs;IEEE Senior Members;Indexes;Cyber-physical systems;Interoperability,IEEE Conferences
62,"['Integration (I)', 'Others (O)']",A Smart Gateway Enabling OPC UA and DDS Interoperability,"['R. Endeley', ' T. Fleming', ' N. Jin', ' G. Fehringer', ' S. Cammish']","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",2019,"Interoperability is one of the major challenges of adoption of the Industrial Internet of Things. OPC UA is one of the main industrial standards for the Request-reply messaging pattern, and DDS is one of the main industrial standards for the Publish-subscribe messaging pattern. How to ensure data is communicated, understandable, and interoperable between the systems implemented by OPC UA and DDS is an industrial concern to address. This study proposes a novel middleware solution which enables effective communication between these two message patterns. We evaluate our work by testing the middleware's performance on a scenario using a Raspberry Pi and the software middleware connected to a private LAN, measuring response times and reliability.",DDS;OPC UA;IIoT;IoT;Internet of Things;Realtime systems;Middleware;Publish/Subscribe,Servers;Logic gates;Connectors;Standards;Middleware;Protocols;Monitoring,IEEE Conferences
63,['Performance Analysis (PA)'],Analysis of the Round Trip Time of OPC UA and TSN based Peer-to-Peer Communication,"['A. Eckhardt', ' S. MÃ¼ller']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"At the SPS IPC Drives in Germany a joint working group between the leading automation manufacturers announced to work together on a set of vendor independent standards for the next generation of industrial communication products. This set of standards is based on OPC UA and Time Sensitive Networking (TSN) and shall be used throughout the automation pyramid. This work contributes to analyze the performance of OPC UA and TSN. Therefore, a test framework is implemented to measure the round trip time of a peer-to-peer communication. The round trip time is an important performance indicator for controller-to-controller and controller-to-field device use cases.",OPC UA;TSN;Round trip time,Standards;Protocols;Synchronization;Automation;Clocks;Payloads;Peer-to-peer computing,IEEE Conferences
64,['Product Development (PD)'],Implementation of a Bi-Directional Digital Twin for Industry 4 Labs in Academia: A Solution Based on OPC UA,"['A. Protic', ' Z. Jin', ' R. Marian', ' K. Abd', ' D. Campbell', ' J. Chahl']",2020 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2020,"With the increased demands of smarter manufacturing approaches around the world, the process of industrial digital transformation is being pushed in and by both industry and academia. Learning factories and testing laboratories have been developed for decades for teaching and training purposes in Academia. Nowadays, as the future trend in industry, Industry 4 is being merged into the latest development of learning factories and testing laboratories. This paper presents the development and implementation of a bi-directional digital twin application in an Industry 4 testing laboratory at University of South Australia. The solution is based on the establishment of OPC UA connection between two cobots of different brands, the use of NX Siemens as a CAD simulation platform and a SCADA system from Inductive Automation. Due to differences between system interfaces, communication between different modules was challenging. Python OPC UA servers were developed. The digital twin replicates the physical system and is driven by inputs from the assembly cell.",I4 Laboratories;Bi-directional Digital Twin implementation;Python;OPC UA;SCADA,Digital twin;Servers;Industries;Solid modeling;Python;Laboratories;Service robots,IEEE Conferences
65,['Diagnostic and Monitoring (DM)'],OPC-UA based small-scale monitoring and control solution for android devices case study for water treatment plants,"['A. -M. Mateoiu', ' A. Korodi']","2018 4th International Conference on Control, Automation and Robotics (ICCAR)",2018,"Interoperability and mobility are important characteristics of modern industrial solutions, providing advantages regarding cost, time and quality. The interoperability perspective emphasizes the OPC UA protocol, respectively the mobility is focusing on technological processes monitored and controlled through smart devices. The current work proposes a small-scale fast and easy to use software solution for Android operating system that will include a Java based OPC UA client and an overlayered application for supervising technological processes. The applicability of the solution is detailed for the water industry and the paper presents a case study for a water treatment facility.",OPC UA;interoperability;android;water industry,Servers;Monitoring;Automation;Androids;Humanoid robots;Industries;Process control,IEEE Conferences
66,['Product Development (PD)'],Research and application of information Model of industrial Robot Welding System based on OPC UA,"['Y. Li', ' T. Cheng', ' L. Pan']","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",2021,"As is known to all, industrial robot welding system in the intelligent manufacturing workshop plays An increasingly important role. In order to build an advanced industrial robot welding system and make it more intelligent, this paper proposed an information modeling scheme of industrial robot welding system based on OPC UA. The application of OPC UA information modeling technology in industrial robot welding system is conducive to the standardization and unification of different equipment interface protocols and the improvement of data transmission efficiency. This technology can be extended to the allconnected manufacturing platform, greatly reducing the manufacturing cost and realizing the all-dimensional interconnection of everything.",OPC UA;industrial robot;information model,Analytical models;Service robots;Welding;Conferences;Production;Data models;Manufacturing,IEEE Conferences
67,"['Theory (T)', 'Others (O)']",Introduction of Group-Subscriptions for RESTful OPC UA clients in IIoT environments,"['R. Schiekofer', ' M. Weyrich']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"In the automation domain, OPC UA can be considered one of the most important communication protocols for IIoT applications. According to a study of McKinsey the potential economic impact of the IoT within factories may reach up to 3,7 Trillion Dollar by 2025. To unlock this potential it is very important to bridge the interoperability gap. Since V1.04 OPC UA also supports session-less clients and therefore allows the development of RESTful clients which can be used to address the cross-domain interoperability issue. However, currently, RESTful clients cannot use Subscriptions, because the corresponding Service Sets are not supported for session-less clients. In this paper, we will present how Subscriptions can be introduced for session-less clients. Furthermore, we outline how Group-Subscriptions can be introduced for session-less as well as session-based clients. Finally, our evaluation shows that Group-Subscriptions significantly outperform standard Subscriptions if the Subscription can be shared by several clients.",OPC UA;Group-Subscriptions;Subscriptions;REST;Information Model;SessionlessInvoke;IIoT;Industry 4.0,Standards;Monitoring;Interoperability;Semantics;Servers;Memory management;Economics,IEEE Conferences
68,"['Product Development (PD)', 'Diagnostic and Monitoring (DM)']",Node-Red and OPC UA Based Lightweight and Low-Cost Historian with Application in the Water Industry,"['A. Nicolae', ' A. Korodi']",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),2018,"In the context of the Industrial Internet of Things (IIoT), the interoperation of structures and the OPC UA interfacing is of high importance for automation and SCADA systems. Besides process monitoring and control, the historian concept is gaining more and more importance when data circulates vertically and horizontally on automation and supervisory levels. The specificity of the water industry requires a decentralized historian that is able to handle particular needs of local processes. The current work proposes a lightweight and low-cost historian that is applicable on both automation and SCADA levels. The solution consists of a main Java application that embeds the Node-red platform for interfacing with local structures and implements the OPC UA protocol. The developed historian is tested on objectives from the water industry. A water treatment plant test scenario is presented, the results proving the effectiveness of the solution.",OPC UA;interoperability;historian;SCADA;IIoT;water industry,Industries;Automation;Software;Servers;Companies;Protocols;Databases,IEEE Conferences
69,"['Integration (I)', 'Wireless Communication (W)']",Deterministic Communication Based on TSN and OPC UA Embedded Server,"['Z. Luo', ' D. Huang', ' Y. Wang', ' Y. He']",2021 40th Chinese Control Conference (CCC),2021,"With the development trend of industry 4.0 and intelligent manufacturing, industrial automation systems will tend to be unified and standardized solutions. Based on meeting the industrial communication requirements, the data access, function realization, and so on in the industrial system are required to be unified as far as possible. At present, a more mature solution is the combination of TSN and OPC UA, which is expected to simplify the integration and management of complex multi-vendor automation systems. This paper studies one aspect, the standardized and deterministic access to industrial field data based on TSN and OPC UA embedded server.",industrial deterministic communication;TSN;OPC UA;low latency,Industrial communication;Standardization;Ethernet;Market research;Servers;Data communication,IEEE Conferences
