Title,Abstract
A Query Language for OPC UA Event Filters,"The OPC UA standard combines industrial communication with information modeling. In order to remove the need for continuous polling, OPC UA clients can create subscriptions to be notified about data changes and events. OPC UA Event Filters provide powerful constructs for the server-side selection of relevant events. This feature is however underused in practice, also because of the complexity of Event Filters. Event Filters are expressed in a “byte-code” encoding. Assembling this encoding by hand is difficult and error-prone. This paper discusses the semantics of OPC UA Event Filters and proposes a query language to facilitate their definition. A formal grammar for the query language is provided in the BNF format. An implementation of a corresponding parser is available as part of the open62541 library."
OPC UA as a Key Technology for Industry 4.0 Electric Drives - A Proof of Concept,"To implement Industry 4.0 functionality, seamless communication across the value chain is vital. This extends to electric drives, one key component in industrial production.Even so, while the current plurality of (vendor-specific) fieldbus protocols enable real-time communication within a domain, general communication methods and protocols are needed. This paper investigates the vendor-independent OPC UA protocol, which is a potential universal solution based on the standardized and omnipresent Ethernet/IP/TCP network protocols.While highlighting challenges and potential solutions, this study presents the practical application of OPC UA on electric drives in a demonstrator environment. The results show that fully manufacturer-independent operations faced challenges due to proprietary systems even though a standard communication protocol is in use. Further, the results emphasize the need for standardized workflows, automated tools, and detailed requirements for scalability."
ECC Implementation and Performance Evaluation for Securing OPC UA Communication,"Protecting critical infrastructures and manufacturing plants in the context of Industry 4.0 against cyber-attacks is a nowadays challenge due to lack or insufficient security mechanisms for the communication protocols. Even though new protocols are considering built-in security (e.g. OPC UA) there is still a struggle for assuring interoperability and interconnectivity in the IoT era while dealing with resource constrained devices. This paper attempts to implement and evaluate a solution for assuring the authenticity and integrity of the data transmitted through OPC UA protocol in a client- server communication based on ECC as an alternative to the existing implemented solution which uses RSA. We choose ECC since it can achieve similar level of security as RSA for smaller key size and in order to respond to the limited memory and resource constrained elements part of an industrial system. Furthermore, we aim to evaluate through measurements the performance of different ECC key sizes in respect to the latency introduced by each cryptographic operation."
A Compliant Robot-Assisted Mold Polishing Application Using the Franka Emika Robot,"Metal mold casting for many application areas remains imperfect since this involves the control of numerous factors that affect workpiece quality. Surface roughness which remains one of the many issues related to metal mold cast is often mitigated by means of grinding and polishing. As many attempts are being made to address this challenge through robot-assisted techniques, we focus on rapid mold polishing using the Franka Emika (FE) robot and its programming resources, including a built-in impedance control architecture. To accomplish the objective, mold surface segmentation is necessary. For each segment, the polishing approach is based on surface normals, relative motion, and torque sensor data. Results were obtained with open platform communication-unified architecture (opc-ua) client and server that record torque and force data. Results show that tuning internal impedance control parameters for polishing tasks is feasible."
An Autonomous Edge Box System Architecture for Industrial IoT Applications,"Digitalization has been developing in manufacturing for decades. Many concepts and technologies related to digitalization have been proposed and have brought significant benefits to enterprises. The Industrial Internet of Things (IIoT) is an important means to realize digital manufacturing. However, there are many barriers when integrating and implementing digitalization for industrial companies, especially for small and medium-sized enterprises (SMEs). These barriers mainly include high cost sensitivity, difficulty in system installation and deployment, lacking of unified methods and platforms, and threats to data and network security. Therefore, a lightweight IIoT architecture is proposed in this paper to support SMEs to overcome the barriers and obtain the practical values brought by IIoT with a lower cost and effort. Finally, a case study has been conducted to validate the proposed approach."
Structured text programming to visualize the distribution of packages on a conveyor,"Automation is a process of increasing production and reducing the downtime of any industry. With the integration of sensor data to the cloud using an OPC-VA communication protocol, the automation becomes more prominent and interesting. However, many existing industrial controllers do not support open platform communication unified architecture (OPC-VA) and it needs an IIoT device to connect the cloud. The existing programmable logic controller in any industry have to be connected to an IIoT device through Ethernet. Sensors connected to the controller will transmit the data to the IIoT device. The transmission can also be bidirectional. In this paper, a conveyor which distributes packages is simulated in Codesys and it is visualized in a human-machine interface (HMI) screen which is in-built in the software. The hardware set-up is made with the industrial controller to execute the same. A methodology to send the data from the controller to the cloud using open platform communication unified architecture (OPC-UA) is proposed"
Overcoming Challenges in Integrating Legacy Devices with Asset Administration Shells - An OPC UA Case Study,"The transition towards Industry 4.0 requires the modernisation of legacy systems. However, this transformation introduces complexity, mainly due to the variety of data formats and interfaces resulting from the heterogeneity of the used components. For seamless interoperability in Industry 4.0 applications, a harmonised data base is of vital importance. The Asset Administration Shell (AAS), as a standardised digital twin of assets, plays a key role in facilitating interoperable, data-centric solutions in the Industry 4.0 landscape. The prospect of automated data integration offers the potential to reduce errors and optimise the process of digitising legacy systems. This raises the question of what extensions and components within the AAS infrastructure are necessary to realise such automation. In response, this paper presents an architectural concept for integrating legacy systems into the AAS framework. Using an articulated robot as a tangible example, the process of interconnecting data points via the OPC UA protocol is illustrated. Additionally, a prototype is presented, capable of enabling vertical data integration via the BaSyx DataBridge, thus showcasing the notable advantages of automating the incorporation of legacy devices into the AAS. The shown solution retains flexibility and is readily applicable to a variety of systems and scenarios as required."
A Cloud-Native Software Architecture of NAMUR Open Architecture Verification of Request using OPC UA PubSub Actions over MQTT,"Long life cycles of OT equipment used in process industry pose a burden to the adoption of high-paced Industry 4.0 IT applications. NAMUR Open Architecture (NOA) specifies a reference architecture to securely decouple the life cycle of IT and OT components, allowing both to evolve on the required pace. Verification of Request (VoR) and Security Gateway are two key concepts of NOA to allow controlled information traversal both ways between IT and OT domains. In this work we present a cloud-native software architecture of VoR by using a standardized OPC UA PubSub communication over MQTT. The architecture has been successfully validated on a simulated system using Kubernetes clusters and Virtual Machines hosting product-grade DCS and edge components."
An OPC UA-based industrial Big Data architecture,"Industry 4.0 factories are complex and data-driven. Data is yielded from many sources, including sensors, PLCs, and other devices, but also from IT, like ERP or CRM systems. We ask how to collect and process this data in a way, such that it includes metadata and can be used for industrial analytics or to derive intelligent support systems. This paper describes a new, query model based approach, which uses a big data architecture to capture data from various sources using OPC UA as a foundation. It buffers and preprocesses the information for the purpose of harmonizing and providing a holistic state space of a factory, as well as mappings to the current state of a production site. That information can be made available to multiple processing sinks, decoupled from the data sources, which enables them to work with the information without interfering with devices of the production, disturbing the network devices they are working in, or influencing the production process negatively. Metadata and connected semantic information is kept throughout the process, allowing to feed algorithms with meaningful data, so that it can be accessed in its entirety to perform time series analysis, machine learning or similar evaluations as well as replaying the data from the buffer for repeatable simulations."
"Digital Twin Frameworks: A Comparative Study of AAS, OPC UA, and AML","This paper conducts a comparison of three leading digital twin frameworks: Asset Administration Shell, OPC UA, and AutomationML, aiming to clarify their features, capabilities, and industry applicability. By analyzing architecture, data modelling, interoperability, scalability, and security aspects, this study highlights each framework's unique strengths and limitations. Additionally, it examines their real-world applications through industry-specific case studies, offering insights into practical implementation benefits. The findings assist stakeholders in selecting the most suitable framework for their digital transformation initiatives, contributing to the broader understanding of digital twin technologies in advancing Industry 4.0."
Convergent wireless real-time communicaiton using EtherCAT and OPC UA for AGV application with big data sets acquisition,"ptimization of delivery of goods to production stations spread on factory floors has led to creation of Automated Guided Vehicles AGV. Latter it evolved to AGVs equipped with collaborative robots implemented to automate the process of loading and unloading of the transported goods. To make the operation of AGVs efficient it is needed to exchange data with higher level system like Manufacturing Execution Systems MES and Transport Management Systems TMS. The data is needed also to increase the energy efficiency of AGVs and their availability by implementation of predictive maintenance procedures. To make it possible processing of big data sets describing the change of the state of AGV’s in time is necessary. But first, the data has to be gathered using reliable wireless communication link that are shared with real-time protocols used for integration with production stations and collaboration with them. The paper considers a solution based on EtherCAT network with application of Ethernet over EtherCAT EoE communication profile for tunneling of OPC UA traffic."
Knowledge-Driven Analysis Framework of Anomaly Propagation in Manufacturing Workshop,"With the improvement of customization demand and the increase of market fluctuation, manufacturing enterprises gradually turn to intelligent manufacturing mode. However, there are various abnormal events in the manufacturing process, which hinder the normal production of the workshop. The analysis of anomaly propagation is considered to be an effective technique to solve this problem. In this paper, we propose a knowledge driven analysis framework of anomaly propagation in workshop. Firstly, a temporal knowledge graph(TKG) is built for anomaly propagation analysis based on the open platform communications unified architecture (OPC UA) information model and the ontology web language (OWL) mapping model. The time-series data in the manufacturing process is contained in the TKG, such as workpiece process data, machine maintenance data, etc. These data are the basis for the analysis of anomaly propagation. Then, a time-series analysis method for anomaly is proposed. This method gives the breadth and depth of abnormal events propagation in a period of time, so that decision makers can make decisions in advance to precisely control the production process. The analysis framework provides a route for manufacturing workshop to resolve abnormal events."
IIOT based Remote Monitoring and Control of Bottle Filling Process Using PLC and Node-Red,"In the industrial bottle-filling process, multiple variables such as temperature, speed, flow, level, and quality must be accurately and consistently regulated. The Industrial Internet of Things (IIoT) is changing the environment in industries such as chemical processing, agriculture, textiles, and food manufacturing. Since the implementation of Industry 4.0, IIOT has become a viable option. By introducing intelligent systems into the industrial sector, this technology alters the relationship between various controllers, Instruments, machinery, and production equipment. It makes use of a Profinet communication network to transfer and manipulate Input and output data from field devices and the PLC S7-1200. This paper aims to develop a remote monitoring and control system for the bottle-filling process using a programmable logic controller (PLC), human-machine interface (HMI), photoelectric sensors, DC motor, solenoid valve, and computers so that its parameters can be monitored and controlled from a central or remote location. This project describes the PLC and Node-Red configuration, as well as the numerous scenarios and use cases created with OPC Unified Architecture (OPC UA). Common protocols used for PLC and HMI connection include Ethernet, Internet Protocol, Modbus, and RS 485. The IIoT system's data will be uploaded to the cloud through OPC UA and Node-Red."
Design of an Educational-development Platform for Digital Twins using the Interoperability of the OPC UA Standard and Industry 4.0 Components,"The development of Industry 4.0, especially in the areas of interoperability and the design, implementation and use of digital twins, has been enormous in recent years. This article discusses three key aspects that Industry 4.0 brings with it - virtualization through digital twins (DTs), interoperability based on the OPC UA standard, and the use of Industry 4.0's Administration Asset Shell (AAS) components. For the purpose of development and education, a design of an education and development platform has been developed, in which these key attributes of Industry 4.0 are conveniently combined into a single entity."
On the Performance of OPC-UA over 5G NPN with Layer 2 Communication,"The integration of private fifth-generation (5G) networks with standardized publish-subscribe (PubSub) communication models offers clear benefits for Industry 4.0 applications. While PubSub models ensure vendor-neutral interoperability, backward compatibility, and mature information modeling, the use of 5G non-public networks (NPN) provides dedicated coverage, exclusive capacity, intrinsic controllability, and customized service and operation. In addition, the combination of PubSub protocols and 5G provides a complete communication stack for industrial automation, where PubSub protocols operate on higher OSI layers, and 5G operates on lower layers. However, the practical implications of the integration of PubSub models with 5G systems remain largely unaddressed in the existing literature. To the best of the authors' knowledge, this paper presents the first empirical evaluation of the integration of private 5G with a PubSub protocol, namely open platform communication unified architecture (OPC-UA), in a real production environment. The proposed solution for 5G and OPC-UA integration relies on layer 2 (L2) connectivity over a virtual extensible local area network (VXLAN) tunnel. Evaluation results demonstrate the feasibility of such integration in the context of a soft real-time additive manufacturing (AM) use case for laser metal deposition (LMD)-based manufacturing."
Digital Twins of Business Processes as Enablers for IT / OT Integration,"The vision of Industry 4.0 introduces new requirements to Operational Technology (OT) systems. Solutions for these requirements already exist in the realm of Information Technology (IT), however, due to the different characteristics of IT and OT, these solutions often cannot be directly used in the realm of OT. We therefore propose an Industrial Business Process Twin (IBPT), allowing to apply methods of one world to another not directly but, instead, to a representation, that is in bidirectional exchange with the other world. The proposed IBPT entity acts as an intermediary, decoupling the realms of IT and OT, thus allowing for an integration of IT and OT components of different manufacturers and platforms. Using this approach, we demonstrate the four essential Industry 4.0 design principles information transparency, technical assistance, interconnection and decentralized decisions based on the gamified Industry 4.0 scenario of playing the game of Nine Men’s Morris. This scenario serves well for agent based Artificial Intelligence (AI)-research and education. We develop an Open Platform Communications Unified Architecture (OPC UA) information and communication model and then evaluate the IBPT component with respect to the different views of the Reference Architecture Model Industry 4.0 (RAMI4.0)."
"A New ICT Architecture of Smart Water Network Platform for Improving Management Performance: Maintenance, Security, and Deployment Cost","This paper introduces the application layer's solutions to the distributed servers, establishes improvement policy processes, and uses advanced technologies, such as Open Platform Communications Unified Architecture (OPC UA), Industrial Gateway Server (IGS), Application Programming Interface (API), etc., to integrate the original distributed hosts into a single new version monitoring platform with centralized architecture that is easy to achieve the goals of easy maintenance, low update cost and enhanced information security deployment. The carbon footprint and information deployment cost are only 35.47% and 9.86% of those before improvement respectively, making an important contribution to improving information efficiency."
Semantic Information Modeling and Implementation Method for Water Conservancy Equipment,"Water conservancy equipment (WCE) has a large amount of information, structural heterogeneity and complex relationship leads to the difficulty of semantic interoperability in smart water conservancy. To overcome this issue, we propose the WCE information interaction dimension theory, modeling process and instancing method. First, we analyze the smart water conservancy ontology and information factor, and propose semantic information interaction dimension structure of water conservancy Ontology. Second, we construct the network information model structure of water conservancy, through the relationship degree, a tree model which can realize semantic expression and interoperability is formed through the dimensionality reduction of the model. Third, the component attribute set hierarchical relationship architecture water conservancy information model is established, which use XML language to describe this model. Moreover, the three types of instancing methods are proposed. Through OPC unified architecture (OPC UA) technology, water conservancy information model can implement semantic interoperability. The experimental show that the proposed method of semantic information modeling and semantic interoperability of WCE is feasible, and obvious advantages of complete semantic interoperability than in the model architecture, semantic structure and technical implementation."
Reusing OPC UA information models in the Asset Administration Shell,"OPC UA and the Asset Administration Shell cover neighboring domains in modern industrial information architectures. Since their meta-models differ fundamentally, correct integration is vital for sustained interoperability. This paper shows how enterprise information systems benefit from using transformed OPC UA information models as a proxy for shopfloor transparency. All transformation rules facilitating this meta-model mapping are motivated and specified. When implemented, a new Submodel mirroring an OPC UA Nodeset can be built up automatically carrying all necessary context from its origins into the realm of cross-company data exchange."
OPC UA PubSub and Industrial Controller Redundancy,"Industrial controllers constitute the core of numerous automation solutions. Continuous control system operation is crucial in certain sectors, where hardware duplication serves as a strategy to mitigate the risk of unexpected operational halts due to hardware failures. Standby controller redundancy is a commonly adopted strategy for process automation. This approach involves an active primary controller managing the process while a passive backup is on standby, ready to resume control should the primary fail. Typically, redundant controllers are paired with redundant networks and devices to eliminate any single points of failure. The process automation domain is on the brink of a paradigm shift towards greater interconnectivity and interoperability. OPC UA is emerging as the standard that will facilitate this shift, with OPC UA PubSub as the communication standard for cyclic real-time data exchange. Our work investigates standby redundancy using OPC UA PubSub, analyzing a system with redundant controllers and devices in publisher-subscriber roles. The analysis reveals that failovers are not subscriber-transparent without synchronized publisher states. We discuss solutions and experimentally validate an internal stack state synchronization alternative."
Using Solana Blockchain and OPC UA for Trusted Third Party Industrial Robot Control Services,
A OPC UA Based Execution Engine for Production Control in Decentral Organized Manufacturing,"In cyber-physical production systems, the capabilities and states of field resources are continuously available. For adaptive and flexible production control, this information must be evaluated during process execution, which is often not done due to a static job shop schedule. With the presented Execution Engine, we demonstrate a system architecture for order-oriented, fully automated execution of production orders. For the representation of field resources and the interface to the production process control, the OPC UA standard is utilized. Based on an enriched description of the order production steps, an execution considering the states of individual field components is realized. The increased communication overhead is addressed by an OPC UA Aggregation Device Registry, which enables efficient pre-selection of field resources during runtime allocation."
An Operational 5G Edge Cloud-Controlled Robotic Cell Environment Based on MQTT and OPC UA,"This paper presents the design and implementation of a wireless robotic cell environment based on 5G and edge-cloud technologies. In the process, different control communication protocols and architectures concerning the MQTT and OPC UA IIoT standards are considered based on available reference implementations. The industrial-grade robotic cell is evaluated in operational conditions with a focus on the specifics of the underlying control communication effects, as well as on the impact on the industrial manufacturing use case. The experimental results demonstrated the effectiveness of the wireless 5G edge-cloud operation using both MQTT and OPC UA protocols, providing the required flexibility and reconfigurability, at expenses of an 8-9% increased production cycle time, as compared to the wired Ethernet reference."
Integrated Machine Vision and PLC Commanding for Efficient Bottle Label Detection in Industrial Processes: A Unified Approach for Quality Control,"This paper presents an integrated approach to bottle label detection in industrial processes, combining machine vision techniques with Programmable Logic Controller (PLC) commanding for an efficient and reliable quality control system. The logic of the label detection station was developed using ladder diagrams to simulate the process and determine whether to retain or remove a bottle on the conveyor based on label presence. The image processing component, executed in Python, manipulated the main variable indicating the label's presence on the bottle. CODESYS was employed to visually represent the process, and in the simulation phase, the bottle traversed the conveyor, halting when the proximity sensor activated. Python code provided the labeling status, and the corresponding image was displayed on a simulation screen. To bridge the gap between image processing and logic control, the functionality of image processing in Python was linked with the CODESYS logic. An OPC UA server in CODESYS facilitated external connections, enabling Python to access and configure CODESYS variables. Challenges, such as scanning rate disparities between Python and CODESYS, were addressed through the introduction of sessions synchronized by a counter. Technical steps involved using an OPC UA client program to monitor server availability and access CODESYS program variables. The installation of the Security plugin in CODESYS ensured secure external connections. The project's key realization was the seamless linkage between image processing and PLC logic, demonstrating an effective integration of machine vision into industrial processes. For bottle label detection, the paper employed OpenCV for object recognition. The image segmentation method, utilizing adaptive thresholding, distinguished the bottle from its background, optimizing the separation process. Contours were identified using findContours(), and a thorough cleanup using arcLength() and approxPolyDP() functions ensured only relevant labels remained. The combination of geometric analysis and parameter optimization resulted in precise and effective label detection. In conclusion, the proposed approach showcases the successful integration of machine vision and PLC commanding for bottle label detection in industrial settings. The synergy between image processing and logic control offers a fast and error-free solution for quality control inspections, laying the groundwork for future advancements in industrial automation."
Semantic Information Extraction from Multi-modal Technical Document,"Industrial Standards such as OPC UA, IEC, IEEE standards etc., are the core of industrial automation as they enable an interoperable industrial ecosystem. These standards describe semantics that should be implemented by the machines that claim to follow them. However, these semantics are defined in textual format in the standard, which makes it challenging to verify the compliance of a standard-compliant machine description against the semantics defined in the standard. This hinders the interoperability between machines from different vendors. However, in the context of Industry 4.0, it is crucial to enable interoperability between machines and, thus, an open ecosystem to ensure industrial automation. Therefore, there is an urgent need to extract and formalize the semantics from the industry standards to facilitate the compliance verification of machine descriptions against industry standards. Currently, no comprehensive method is described in the state-of-the-art to address this issue. In this thesis, we investigate how to solve the problem of (semi-)automatically extracting and formalizing semantics from the industrial standard technical specifications using Semantic Web Technologies (SWT), Natural Language Processing (NLP), Machine Learning (ML) and knowledge-based information extraction methods. Mainly we focus on (i) Named Entity Recognition on the text of the technical documents; (ii) binary and multi-class rule (constraint) classification on limited annotated specific textual data; (iii) information extraction from tables, and (iv) finding the contextual similarity between the information from the text and the tables of the same document. We use OPC UA Companion Specifications as the first use case."
Collection and Storage of Technological Data in Multi-Channel CNC Processing Using a Non-Relational Database and Node-RED,"This article contemplates the problem of collecting and storing technological data during multichannel and multi - coordinate machining on CNC machines obtained using the OPC UA protocol and applying Node-RED open-source instrumentation. A structural model of obtaining, visualizing and storing technological data in multichannel and multi - coordinate machining is proposed in this research. The necessary nodes for Collection and storage of technological data in multi-channel CNC processing are implemented and configured. The researchers illustrated practical aspects of building a system for collecting and storing technological data in multichannel machining using the OPC UA protocol and applying Node-RED open-source tools and a non-relational MongoDB database."
Research on the Application of Digital Twin in Bridge Rotation Construction,"With the continuous expansion of China's high-speed railway network, the construction of bridges spanning existing railway lines has become increasingly common. Bridge transition, as a solution for constructing bridges on existing tracks, is crucial for ensuring safety during the construction phase. This research aims to utilize digital twin technology to monitor the construction of bridge transitions and address the limitations of traditional bridge monitoring methods. We employed the Unity3D game engine to create a digital twin virtual scene and facilitated seamless data exchange between the physical and virtual domains using the OPC UA data exchange mechanism. Ultimately, we developed a prototype system for monitoring bridge transition construction. This system effectively monitors critical information and activities during bridge construction, providing early warning capabilities and decision support throughout the construction process. Through the design and implementation of the system prototype, we have confirmed the feasibility of applying digital twin technology in bridge transition construction."
Study and Development of Intelligent KPI Management System for Discrete Manufacturing Enterprises in Industry 4.0,"Key performance indicators (KPIs) are essential for manufacturing management and production optimization in discrete manufacturing enterprises. In the context of Industry 4.0, KPI management in discrete manufacturing enterprises struggles in obtaining large amounts of heterogeneous data, low transmission efficiency and poor real-time KPI evaluation. Towards the above-mentioned problems, this paper investigates the definition and characteristics of intelligent KPI management system in discrete manufacturing enterprises and designs a distributed application architecture of the system based on OPC UA protocol. On this basis, the system node functions and the production site deployment of the nodes are designed according to the production organization structure of the enterprises, to achieve accurate KPI real-time evaluation. Moreover, intelligent KPI optimization support is designed, which provides intelligent KPI optimization recommendation based on KPI optimization experience and optimization knowledge, as well as optimization task management for real-time tracking of optimization tasks. Finally, we adopt the Spring Boot framework to develop the cloud-intelligent KPI management system, which provides enterprise managers with a visual approach to digitally and intelligently manage KPIs."
Open Reference Architecture for Sustainable Papermaking based on Industrial Interoperability Standards and Cloud-Native Technologies,"An open reference architecture is presented for sustainable papermaking based on a combined usage of open industrial interoperability standards such as the Asset Administration Shell, Functional Mockup Interface, AutomationML and OPC UA for modeling and exchanging information towards decarbonization of paper production. The models combine with containerized calculation modules and end-user services, extending the capabilities of existing production systems to support development of a scalable, modular, flexible, and interoperable framework for usage by various manufacturers. The vendor-neutral, domain-agnostic architecture can also be viewed as a blueprint for sustainable manufacturing in other industrial contexts."
StateFlow as a Tool of the Hybrid X-in-the-Loop Technique in the Model-Based Design Approach to the Control Systems Design in Industrial Automation,"The rapid dynamics of changes in the definition of requirements when deploying new technologies means an increase in demands on the volume and scope of skills and knowledge of experts in the design of solutions and their implementation. PLC-based control systems designed for industrial automation can also be included in this problem area. The article deals with the possibility of rapid design and testing of PLC control algorithms using X-in-the-Loop techniques of Model-based Design approach. The control algorithm is implemented using visual programming techniques in the form of state diagrams utilizing the Matlab StateFlow tool. The given proposal is analyzed from the point of view of different approaches to the implementation of communication between the development PC and the real control PLC SIMATIC S7-300 connected to the real part of the model production line. Data exchange is carried out in two ways. The first way of communication is the exchange of uncompressed and compressed images of inputs and outputs via IP communication. The second way is to use the OPC UA architecture. The result of the article is a case study of the use of the XiL approach in the design phase of the control of the AFB Factory production line module with a summary of the possibilities, advantages and disadvantages of alternative partial solutions."
"The Role of Artificial Intelligence in Advancing Fracture Mechanics: Modeling, Prediction, and Data Analysis","With the Internet of Things (loT) and the Industrial Internet of Things (1IoT) as key paradigms, industries and societies have been advanced by allowing systems to interconnect and making intelligent decisions. This paper examines the progress of the loT and IloT by specifically define the taxonomy, communication protocols and system integration for the two technologies. Whenever loT solutions are deployed, taxonomies provide the categorization of diverse constituents, functional relationships, and compositional hierarchies within these arrangements. MQTT, DDS, and OPC UA are discussed as important protocols and their functions, differences, and performance characteristics are compared and analyzed. The paper also aims to look at the integration framework of the IloT as this has the key function of ensure the compatibility between industrial operations and smart technologies. The concepts garnered through loT and IloT are explained by applying them in fields such as Smart Cities, Healthcare, Manufacturing and logistics etc. Nevertheless, some issues still present major questions such as scalability, interoperability and security. That is why this work underscores that there is a need to develop and improve protocols, which are necessary to overcome these challenges. As a synthesis of the current knowledge regarding loT and IloT, this work offers a valuable guide to researchers and practitioners trying to meet the great challenges of building reliable and efficient solutions to next generation interconnected systems."
Model-Driven Integration of Analysis Components for Cyber-Physical Production Systems,"In the course of the rapid development of Industry 4.0, manufacturing machinery is becoming ever more connected. Such Cyber-Physical Production Systems (CPPSs) produce large amounts of data, which can be used to analyze the system’s state and optimize its operation. To enable this analysis, the respective software components need to be interoperable with the CPPSs. While standards, such as OPC UA, provide interoperability on a technical protocol level, we see a vastly heterogeneous landscape of data models. Therefore, the integration of analysis components with their underlying CPPS is usually a laborious, manual process, also discouraging reuse. To facilitate the reuse of analysis software in this setting, we propose a model-driven method for integration with the underlying CPPS and the consumers of analysis results. Our contribution consists of (i) domain-specific languages for semantically enriched interface descriptions and simple mappings, (ii) a code generator toolchain to realize the specified mappings, and (iii) a simple, loosely coupled architecture for the resulting system."
Development of Robot Applications Utilizing Asset Administration Shell for Integrated Robotics Processes,"As the digital transformation of the manufacturing industry accelerates, the importance of data integration in manufacturing processes is increasingly emphasized. However, the use of heterogeneous equipment and diverse solutions in building processes hinders smooth data exchange, resulting in compatibility issues among equipment, systems, and data. To address these challenges, the Reference Architecture Model Industry 4.0 (RAMI 4.0) has been proposed as a reference model for Industry 4.0, utilizing the Asset Administration Shell (AAS) to ensure both vertical and horizontal interoperability. In this study, a robot manipulator was modeled using AAS, and the OPC UA protocol was applied to the modeled process elements. Additionally, a digital twin of the robot manipulator was built using MoveIt2 from higher-level systems, allowing for parameter-based control. This facilitates scenario-based integration with heterogeneous equipment such as PLCs, enabling the design of a flexible robot production system that can adapt to the tasks of heterogeneous equipment without human intervention."
Denormalized Database of HUST-PTF Beamline Control System,"Huazhong University of Science and Technology is developing a proton therapy facility (HUST-PTF) based on a superconducting cyclotron. To achieve the scheduling and control of various underlying devices in the beamline during beam transport, we designed a beamline control system (BCS) with distributed architecture based on OPC UA. Initially, we developed the Beam Control System (BCS) and built the control parts for underlying hardware, such as magnet power supply, degrader and beam diagnostics. However, due to the lack of beam database, we are unable to read and store data from the underlying hardware during beam commissioning, making it impossible to achieve subsequent automatic configuration for beam therapy. Therefore, we further design and develop a denormalized beam database based on the actual architecture, beam commissioning, and therapy requirements of HUST-PTF. By demoralizer, we store data in as few tables as possible, reducing join operations between tables, minimizing disk I/O operations, to accelerate data query speed. We also test the performance of beam database, verifying that the denormalized beam database could meet the actual beam commissioning and therapy requirements of HUST-PTF."
Practical IEEE 802.1AS-Based TSN Time Synchronization over Wi-Fi for Bare-Metal Devices,"Recent advances in wireless technologies providing flexibility, mobility, low wiring costs and high reliability have generated significant interest in extending Time-Sensitive Networking (TSN) capabilities over wireless networks. As an example, the integration of OPC Unified Architecture (OPC UA) - a successor of Open Platform Communication (OPC) over Wi-Fi TSN networks has gained significant importance in industrial automation and the Internet of Things (IoT) since it enables reliable and deterministic communication in wireless networks. This is essential in high-interference and low-latency environments. However, given the stochastic nature of wireless communication channels, enabling TSN capabilities — originally designed for Ethernet networks —comes with certain challenges, with time synchronization being one of them. This is especially true for low-cost embedded commercial off-the-shelf (COTS) devices that often lack dedicated hardware support. We present a prototype implementation that is mostly compliant to standard time synchronization over Wi-Fi, on a low-cost embedded platform and without additional components. We use a bare-metal generalized Precision Time Protocol (gPTP) implementation that we adopted to support Wi-Fi links in addition to traditional Ethernet networks to enable heterogeneity. We highlight the challenges, especially with respect to the HW / SW requirements and show the current status and performance of our developments which show that we can achieve a synchronization accuracy in the range of below $10, \mu \mathrm{~s}$, with low power consumption and using standard devices."
Free Software and Open-Source Hardware for Industrial Automation,"Emerging technologies are aiming to fully automate the manufacturing process on the factory shop floor. However, industrial automation is often hampered by interoperability and vendor lock-in challenges due to heterogeneous components and environments. Replacement of these components is costly and even lower price devices will pose new technology gaps and shortcomings in interoperability capabilities thus slowing down manufacturing processes and causing additional costs. True industrial automation and integration requires interoperability and free software as well as open source hardware are two means to eliminate interoperability blockers and also benefit from reduced costs. As part of the Open Source Industrial Edge (OSIE) project, we are working with open source and open hardware devices using Open Platform Communication Unified Architecture (OPC UA) for vendor-independent unified communication. In this paper we develop an end-to-end open source industrial use case to control input/output pins using a Virtual Programmable Logic Controller (vPLC). We validated our deterministic communication with a test-bed made up from an edge server and a field level device. The test results present a detailed overview of the latency and jitter observed during communication."
Augmented Reality and Digital Twin for Mineral Industry,"Nowadays, industrial companies are constantly looking to increase production, reduce downtime and detect anomalies in manufacturing processes. Considering these challenges, a solution is proposed that uses the concept of a Digital Twin (DT) for machine monitoring and Augmented Reality (AR). The aim is to provide mineral factories with improved insight into the performance of their production line machines. This solution can help detect anomalies in manufacturing processes, resulting in reduced material costs with the support of an Open Platform Communications Unified Architecture (OPC UA). The solution developed enables real-time monitoring of sensor data from each machine using AR smart glasses that provide hands-free visualization, eliminating the need for additional equipment. It also allows the management of educational content to be shown to Factory Floor Workers (FFW), which can potentially reduce training time and human resource costs. The positive response from users during the tests demonstrated the potential for the solution to be used in the industry."
RealCaPP: Real-Time Capable Plug & Produce Service Architecture for Distributed Robot Control,"The industry is transforming from mass production to individual production in which each product can be unique. This change requires the ability to easily add, replace, or remove plant components at runtime to make plants flexible and adaptable. Another important point for flexible production is that not only hardware components can be added, changed, or removed, but also software components can be distributed to different system components at runtime. All of this can be summarized under the term Plug & Produce. Therefore, we propose a service architecture that can distribute modular software components across multiple control devices at runtime."
