Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
OpenModelica OPC UA framework for control applications,S. Kumar; R. Paknikar; N. Sharma; K. M. Moudgalya,"Dept. of Sys. & Cont. Engg., IIT Bombay, Mumbai, India; Dept. of Comp. Sci. & Engg., IIT Bombay, Mumbai, India; Dept. of Chem. Engg., IIT Bombay, Mumbai, India; Dept. of Chem. Engg., IIT Bombay, Mumbai, India","2021 9th International Conference on Control, Mechatronics and Automation (ICCMA)",21 Dec 2021,2021,,,78,83,"OpenModelica is a general purpose modeling and simulation platform, extremely useful for modeling and simulation. As it comes bundled with it, an OPC UA server is readily available to all OpenModelica users, without additional installation/configuration work. We deployed this OPC UA server with the OPC UA client, implemented through the Python language in Raspberry Pi. The communication is validated through the control of a first order transfer function. A multi-product batch distillation column was also simulated in this framework. In all of the problems, the results are correct, and as per literature findings.",,978-1-6654-1073-1,10.1109/ICCMA54375.2021.9646198,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9646198,Open source software;OPC UA server;Batch distillation;Process control;Large scale training;Hybrid system;Networked control systems;Control education,Mechatronics;Automation;Distillation equipment;Education;Transfer functions;Control systems;Servers,batch processing (industrial);control engineering computing;distillation;manufacturing systems;production control;production engineering computing;transfer functions,OpenModelica OPC;general purpose modeling;OPC UA server;OPC UA client;Python language;multiproduct batch distillation column;first order transfer function,,,,18,IEEE,21 Dec 2021,,,IEEE,IEEE Conferences,,,
Applying Event-Based Sending Intervals to Enable Low Energy OPC-UA on Sensor Nodes,J. Troci; S. Krug; T. Hutschenreuther,"IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH), Ilmenau, Germany; IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH), Ilmenau, Germany; IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH), Ilmenau, Germany",2019 27th Telecommunications Forum (TELFOR),30 Jan 2020,2019,,,1,4,"Integrating typical wireless sensors into industrial control systems is a crucial task to realize the full potential of the Industrial Internet of Things (IoT). Many lightweight protocols exist for the use in the IoT context with a focus on energy efficient data transmissions. Industrial protocols on the other hand ensure reliable and timely transfer of data but typically at the cost of a higher energy consumption. In this paper, we analyze and compare one protocol from each category to determine the different energy consumption and then evaluate how different sending schemes can enhance the energy consumption of the industrial protocol. The goal is to reduce the energy consumption while keeping the relevant information under industrial constraints and enabling tuning to different scenarios. Our results show that these goals are achievable by applying event-based sending approaches. However, a good understanding of the process at hand is required to trade-off different constraints.",,978-1-7281-4790-1,10.1109/TELFOR48224.2019.8971257,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8971257,Industrial IoT;Industry 4.0;Energy Consumption;Analytical Evaluation;OPC-UA;CoAP,,energy conservation;industrial control;Internet of Things;protocols;telecommunication power management;wireless sensor networks,low energy OPC-UA;sensor nodes;typical wireless sensors;industrial control systems;lightweight protocols;IoT context;energy efficient data transmissions;energy consumption;sending schemes;industrial protocol;industrial constraints;event-based sensing intervals,,,,9,IEEE,30 Jan 2020,,,IEEE,IEEE Conferences,,,
Smart & automated production based on MQTT,C. Überall; M. Bartholet; R. Khudaybergenov,"Mathematics, Informatics and Sciences, University of Applied Sciences, Mittelhessen, Gießen, Germany; Mathematics, Informatics and Sciences, University of Applied Sciences, Mittelhessen, Gießen, Germany; Mathematics, Informatics and Sciences, University of Applied Sciences, Mittelhessen, Gießen, Germany","2021 International Conference on Smart Applications, Communications and Networking (SmartNets)",5 Oct 2021,2021,,,1,6,"The automation of the production is needed to guarantee that the non-value-added activities are reduced to a minimum. Manufacturing systems like MES (Manufacturing Execution Systems) can plan production processes that consist of several production process steps. However, these systems cannot inform a production machine to continue or start the production process automatically. This paper will present a technique that covers this kind of problem by using the lightweight MQTT protocol. The presented research/system offers the possibility to implement an event-driven approach to enable automated production without solid knowledge in programming easily (e.g., PLC programming).",,978-1-6654-3545-1,10.1109/SmartNets50376.2021.9555408,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9555408,Industry 4.0;Smart Production;Industrial Internet of Things;Automation;MQTT;OPC UA;REST,Protocols;Production;Programming;Solids;Manufacturing systems;Industrial Internet of Things,manufacturing systems;message passing;middleware;process planning;production engineering computing;production planning;protocols,Message Queuing Telemetry Transport;event-driven approach;MES;automated production;smart production;nonvalue-added activities;lightweight MQTT protocol;production machine;production process planning;manufacturing execution systems,,,,13,IEEE,5 Oct 2021,,,IEEE,IEEE Conferences,,,
An industrial feedback on the use of OPC UA for the vertical integration of semiconductor front-ends,F. R. Golra; M. Engel,"Agileo Automation, Poitiers, France; Agileo Automation, Poitiers, France",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),30 Nov 2021,2021,,,1,4,"As manufacturing, in general, is adopting Industry 4.0, OPC UA is gaining traction to become the de facto architecture for overcoming the issues of interoperability. Even though semiconductor equipment manufacturers need to comply with the existing and now mature SEMI11SEMI is a semiconductor association that defines standards. All SEMI standards referenced in this article are accessible at https://www.semi.org standards, it is worthwhile to explore the possibilities of harmonizing them with other automation standards. Following the same motivation, OPC Foundation has developed standardized companion specifications for different other standards like ISA-95, PROFINET, IO-Link, etc. In the absence of a companion specification for semiconductor industry, this work compares the architectural choices for the development of an information model for semiconductor industry. We share the lessons learned from our endeavors in implementing OPC UA information models for semiconductor domain.",,978-1-7281-2989-1,10.1109/ETFA45728.2021.9613384,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613384,OPC UA;SECS II;GEM;vertical integration,Semiconductor device modeling;Protocols;Web services;Conferences;Electronics industry;Standards;Interoperability,control engineering computing;electronic data interchange;IEC standards;open systems;process control;production engineering computing;semiconductor industry;standards,industrial feedback;vertical integration;semiconductor front-ends;semiconductor equipment manufacturers;semiconductor association;SEMIstandards;automation standards;OPC Foundation;standardized companion specifications;companion specification;semiconductor industry;architectural choices;OPC UA information models;semiconductor domain,,,,10,IEEE,30 Nov 2021,,,IEEE,IEEE Conferences,,,
Educational-development Workplace for Digital Twins using the OPC UA and Unity 3D,M. Pajpach; P. Drahoš; R. Pribiš; E. Kučera,"Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia",2022 Cybernetics & Informatics (K&I),26 Oct 2022,2022,,,1,6,"Digital Twin technology has seen great advances in design, implementation and use in recent years. This article describes the combination of two key attributes of the Industry 4.0 concept - virtualization through Digital Twins and interoperability based on the OPC UA standard. For educational purposes, an experimental workplace and an educational-development environment for the design of Digital Twins using interoperability and the 3D engine Unity have been created. The presented methodology of Digital Twin creation was practically verified on available digital technologies.",,978-1-6654-8775-7,10.1109/KI55792.2022.9925933,Research and Development; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925933,digital twin;OPC UA;interoperability;educational-development environment;Industry 4.0;Unity 3D,Visualization;Three-dimensional displays;Employment;Digital twins;Fourth Industrial Revolution;Visual databases;Virtualization,control engineering computing;open systems;production engineering computing;user interfaces,educational-development workplace;Digital Twins;Unity 3D;Digital Twin technology;OPC UA standard;educational purposes;experimental workplace;educational-development environment;3D engine Unity;Digital Twin creation;available digital technologies,,,,24,IEEE,26 Oct 2022,,,IEEE,IEEE Conferences,,,
A Prefatory Study on Data Channelling Mechanism towards Industry 4.0,K. H. Ng; Y. Tew; M. W. Yip,"Faculty of Computing & Information Technology, Tunku Abdul Rahman University College, Malaysia; Faculty of Computing & Information Technology, Tunku Abdul Rahman University College, Malaysia; Faculty of Engineering & Technology, Tunku Abdul Rahman University College, Malaysia",2019 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),5 Mar 2020,2019,,,1385,1390,"Data are increasing in volume, variety and velocity in this Internet of things and big data era. It applies from industry (or manufacturing) process monitoring control to video surveillance analysis to track human and machines activities. Therefore, fast and accurate approaches in data channelling are needed to effectively deal with these big data. This paper presents practical methods to manage and transfer the data from industry manufacturing site to a centralized data processing hub. In this hub, data are transformed into understandable information, which can assist human in understanding and monitoring manufacturing situation autonomously. These data are collected and channelled to desired location for analysis through Open Platform Communication Unified Architecture (OPC UA). Industrial protocols and standards are used to interpret the data channelling methods and tested on several industrial machines. Result shows that size of data and number of OPC UA Client that connects to OPC Server affects the data channelling speed.",2640-0103,978-1-7281-3248-8,10.1109/APSIPAASC47483.2019.9023089,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9023089,Data Channeling;OPC UA;Industry 4.0;RAMI 4.0,Virtual private networks;Servers;Industries;Temperature sensors;Manufacturing;Production,Big Data;client-server systems;data analysis;industrial control;process monitoring;production engineering computing;video surveillance,industrial machines;data channelling mechanism;Internet of Things;Big Data era;video surveillance analysis;human machines activities;industry manufacturing site;centralized data processing hub;monitoring manufacturing situation;open platform communication unified architecture;data channelling methods;OPC-UA,,,,22,IEEE,5 Mar 2020,,,IEEE,IEEE Conferences,,,
Interoperability Between ROS and OPC UA: A Local Cloud-Based Approach,A. Tripathy; J. van Deventer; C. Paniagua; J. Delsing,"Dept. of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Dept. of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Dept. of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Dept. of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden",2022 IEEE 5th International Conference on Industrial Cyber-Physical Systems (ICPS),18 Jul 2022,2022,,,1,5,"Today's manufacturing industries use a large suite of protocols and technologies to operate heterogeneous devices and software modules. Some of the most widely used technologies in industrial production are OPC UA (Open Platform Communications Unified Architecture) and ROS (Robot Operating System). Hence, enabling interoperability across these technologies is critical to ensure a smooth production flow. We propose a local cloud-based approach to achieve interoperability between ROS and OPC UA by integrating them with the Eclipse Arrowhead Framework. This integration allows these technologies to operate as independent systems while communicating securely at runtime. In addition to achieving interoperability, this integration supports important industrial aspects such as loose coupling, late binding, and cyber-security, making it a flexible solution.",,978-1-6654-9770-1,10.1109/ICPS51978.2022.9816962,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9816962,ROS;OPC UA;Eclipse Arrowhead Framework,Manufacturing industries;Couplings;Runtime;Protocols;Operating systems;Conferences;Production,cloud computing;manufacturing industries;open systems;service-oriented architecture,Eclipse Arrowhead Framework;independent systems;achieving interoperability;important industrial aspects;ROS;OPC UA;heterogeneous devices;software modules;industrial production;Open Platform Communications Unified Architecture;Robot Operating System;smooth production flow;local cloud-based approach,,,,14,IEEE,18 Jul 2022,,,IEEE,IEEE Conferences,,,
Cross-Platform Device Monitoring System Based on OPC UA,W. Chen; P. Wang,"Shenyang institute of computing technology, Chinese academy of sciences, Shenyang, China; Shenyang institute of computing technology, Chinese academy of sciences, Shenyang, China",2022 11th International Conference of Information and Communication Technology (ICTech)),18 Aug 2022,2022,,,415,418,"With the development of data monitoring system for industrial equipment, the convenience of data monitoring is paid more and more attention. Traditional data monitoring mostly uses specialized software or visual interface on the device to achieve the purpose of monitoring data, the workflow will be more complex. Even if there is a unified device to receive the data, it is not realistic to monitor all the time. In addition, for the load problem of the micro device, mounting the OPC UA client by itself is heavy. Therefore, in order to improve the visibility of field device data, reduce the load of micro devices and simplify the complex workflow, this paper studies the cross-platform device monitoring system based on OPC UA. The local OPC UA server is used to collect data from industrial devices, and the collected data is processed and transferred to the cloud storage system. The stateless RESTful HTTP request style simplifies the complexity of implementing data transfer between a generic client (browser or other HTTP client) and a Web server, and truly enables users to monitor data anytime and anywhere without consuming too many resources.",,978-1-6654-9694-0,10.1109/ICTech55460.2022.00089,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9849635,OPC UA;web platform;RESTful;Publish/subscribe;cross platform,Visualization;Protocols;Industrial control;Writing;Web servers;Software;Real-time systems,client-server systems;Internet;Web services,data transfer;cross-platform device monitoring system;OPC UA;data monitoring system;traditional data monitoring;unified device;microdevice;field device data;industrial devices;stateless RESTful HTTP request style;generic client;Web server,,,,14,IEEE,18 Aug 2022,,,IEEE,IEEE Conferences,,,
Towards an Industrial Converged Network with OPC UA PubSub and TSN,O. Konradi; A. Mankowski; L. Wisniewski; H. Trsek,"Institute Industrial IT - Technische Hochschule OWL, Lemgo, Germany; Institute Industrial IT - Technische Hochschule OWL, Lemgo, Germany; Institute Industrial IT - Technische Hochschule OWL, Lemgo, Germany; Institute Industrial IT - Technische Hochschule OWL, Lemgo, Germany",2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),25 Oct 2022,2022,,,1,4,"Technologies such as TSN and OPC UA are enablers for converged networks in industrial applications. TSN enables the coexistence of network traffic with real-time requirements and best-effort requirements. On the other hand, OPC UA defines a common information model in addition to secure communication, scalability, and platform independence. The new specification of OPC UA PubSub enables the possibility of implementing OPC UA on the lower levels of the automation pyramid, the field level. Therefore, combining these two technologies can in principle be implemented for every vertical and horizontal communication. This document analyzes the state of the art of OPC UA over TSN and explains the first steps towards an easy to use proof-of-concept for a converged network that is also designed to be a testbed. The testbed will be used to evaluate the interoperability of TSN-capable devices from different vendors. In addition to that, different OPC UA PubSub implementations will be used and benchmarked. These future results will present an overview of the currently available products and provides hands-on experiences for practical implementations of converged networks.",,978-1-6654-9996-5,10.1109/ETFA52439.2022.9921646,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921646,OPC UA;TSN;IIoT;Real-Time;Industrial Application;Converged Network,Scalability;Telecommunication traffic;Benchmark testing;Real-time systems;Manufacturing automation;Interoperability,computer network security;Internet;open systems;telecommunication traffic,horizontal communication;TSN-capable devices;industrial converged network;industrial applications;network traffic;real-time requirements;best-effort requirements;common information model;vertical communication;proof-of-concept;OPC UA PubSub implementations;automation pyramid;field level,,,,9,IEEE,25 Oct 2022,,,IEEE,IEEE Conferences,,,
Platform for Information Exchange in Versatile Production Systems,M. Vorderer; A. Verl; F. Kretschmer; T. Ringhoffer,"Corporate Research and Advance Engineering Robert Bosch GmbH, Renningen, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units University of Stuttgart, Stuttgart, Germany",2018 25th International Conference on Mechatronics and Machine Vision in Practice (M2VIP),6 Jan 2019,2018,,,1,5,"Productions are facing continuous changes and have to adapt to new challenges economically. Especially the assembly as last step within the production process, where all sub products are put together to the final product, is influenced by all preceding changes. A feasible solution can be found in increasing the versatility of the involved assembly processes in order to allow for better adaption. A fundamental criterion for versatility is compatibility, not only for electromechanical components, but also on the level of communication. This paper will present versatility applied to automated assembly systems as well as the involvement of communication and will propose a communication architecture. The architecture is based on the directory service “Gelbe Seiten für Industrie 4.0”. Besides the adaption of the information model to the needs of assembly systems, a systematic sequence of the communication and a software concept for the usage in automated assembly systems will be presented. The evaluation of the information model is done by applying it to a use case from the automotive assembly domain at the research campus ARENA2036.",,978-1-5386-7544-1,10.1109/M2VIP.2018.8600888,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8600888,architecture;communication system;data communication;information modeling;protocols;assembly systems;plug and produce;opc ua,Information exchange;Assembly systems;Automation;Task analysis;Service-oriented architecture,assembling;automobile industry;information management;production engineering computing;production management,ARENA2036;software concept;industry 4.0;finished product;production systems;information exchange;automotive assembly domain;communication architecture;automated assembly systems;electromechanical components,,,,15,IEEE,6 Jan 2019,,,IEEE,IEEE Conferences,,,
Construction and Application of Information Model of CNC Machine Tools,X. Song; Z. Jiang; L. Zheng; B. Li; L. Li; D. Wang,"Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Shenyang, P. R. China; Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Shenyang, P. R. China; Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Shenyang, P. R. China; Shenyang Institute of Computing Technology Co., Ltd., University of Chinese Academy of Sciences, Shenyang, P. R. China; Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Shenyang, P. R. China; Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Shenyang, P. R. China",2022 IEEE 17th Conference on Industrial Electronics and Applications (ICIEA),12 Jan 2023,2022,,,119,125,"The Computer Numerical Control machine tools in the digital workshop usually come from different manufacturers, and it is difficult to transfer information between upper-level systems and heterogeneous devices, so it is necessary to establish a complete and standardized information model to realize the interconnection of device information. In this paper, we analyze the composition structure of machine tools and production operation information, and establish a flexible and scalable information model of CNC machine tools according to the modeling rules of manufacturing equipment integrated information model. By developing OLE for Process Control Unified architecture server, the mapping of information model to OPC UA information model is realized, and it is verified that the client can access the information of CNC machine tools by accessing the server. It shows that the established CNC machine tool information model can be interconnected based on OPC UA protocol.",2158-2297,978-1-6654-0984-1,10.1109/ICIEA54703.2022.10006100,Shenyang Young and Middle-aged Science and Technology Innovation Talent Support Program; China Postdoctoral Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10006100,CNC;information model;OPC UA,Analytical models;Protocols;Process control;Production;Predictive models;Data models;Machine tools,computerised numerical control;control engineering computing;machine tools;production engineering computing,CNC machine tool information model;CNC machine tools;computer numerical control machine tools;digital workshop;flexible information model;manufacturing equipment;OLE;OPC UA information model;process control unified architecture;production operation information;standardized information model;transfer information,,,,15,IEEE,12 Jan 2023,,,IEEE,IEEE Conferences,,,
Local Discovery Service for OPC-UA Devices,A. Fonte; J. M. L. P. Caldeira; V. N. G. J. Soares; P. Torres; R. Dionísio; S. Malhão,"Instituto Politécnico de Castelo Branco, Portugal; Instituto Politécnico de Castelo Branco, Portugal; Instituto Politécnico de Castelo Branco, Portugal; Instituto Politécnico de Castelo Branco, Portugal; Instituto Politécnico de Castelo Branco, Portugal; Instituto Politécnico de Castelo Branco, Portugal",2020 15th Iberian Conference on Information Systems and Technologies (CISTI),15 Jul 2020,2020,,,1,6,"This article presents the contribution of the Polytechnic Institute of Castelo Branco (IPCB) within the scope of PPS1 of the PRODUTECH SIF program - Solutions for the Future Industry, in terms of the definition of modules for scalability, adaptation, plug-and-play, with interoperability between processes and technologies inter/intra industrial plants. More specifically, its contribution for the definition, implementation and evaluation of OPC-UA device discovery services. Adopting the CompactRIO platform developed on PPS2 as a physical basis for a Smartbox, its development was extended during the present task with a view to incorporating and validating the adopted service discovery mechanisms in the program.",2166-0727,978-989-54659-0-3,10.23919/CISTI49556.2020.9140859,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140859,Discovery Service;OPC-UA;IoT;IIoT,Manuals;Industries;Information systems;Servers;Plugs;TCPIP,industrial plants;Internet of Things;machine-to-machine communication;open systems;production engineering computing;protocols,local discovery service;Castelo Branco;IPCB;PPS1;interoperability;OPC-UA device discovery services;CompactRIO platform;PPS2;Polytechnic Institute of Castelo Branco;PRODUTECH SIF program;Solution for the Future Industry;Smartbox;service discovery mechanisms,,,,0,,15 Jul 2020,,,IEEE,IEEE Conferences,,,
Towards Increased Flexibility and Interoperability in Distributed Process Control Applications,A. Zia; D. Hästbacka,"Computing Sciences, Tampere University, Tampere, Finland; Computing Sciences, Tampere University, Tampere, Finland",2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS),4 Dec 2020,2020,1,,446,450,"The modern process automation plants are changing into flexible designs, which raises the requirements for distributively controlled logic, a high degree of interoperability, dynamic reconfiguration and software reusability. Thus, creating an opportunity to integrate the distributed control system standards and platform independent communication protocols. In this paper, we propose the use of OPC UA to increase interoperability of communication and the utilization of Arrowhead Framework to enhance interoperable service compositions of control applications implemented in IEC 61499. The concept is outlined for the integration and modeling of a distributed control system for a FESTO laboratory batch process system. A control application example is provided to create distributed control of Cyber-Physical Systems using services that are connected using IEC 61499 in accordance to Industry 4.0 for improved interoperability and flexibility.",,978-1-7281-6389-5,10.1109/ICPS48405.2020.9274759,Business Finland; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274759,Cyber-Physical Systems;Industry 4.0;IEC 61499;4Diac;OPC UA;Arrowhead Framework,IEC Standards;Interoperability;Servers;Standards;Decentralized control;Process control;Service-oriented architecture,batch processing (industrial);cyber-physical systems;distributed control;factory automation;IEC standards;laboratory techniques;open systems;process control;production engineering computing;protocols;software reusability,interoperable service compositions;IEC 61499;FESTO laboratory batch process system;cyber-physical systems;distributed process control applications;modern process automation plants;flexible designs;distributively controlled logic;dynamic reconfiguration;software reusability;distributed control system standards;independent communication protocols;OPC UA;Arrowhead framework;Industry 4.0,,,,17,IEEE,4 Dec 2020,,,IEEE,IEEE Conferences,,,
Information Modeling of Cyber-Physical Systems using OPC-UA,T. Ivanova; I. Batchkova; D. Gocheva; Y. Belev,"Dept of Industrial Automation, University of Chemical Technology and Metallurgy, Sofia, Bulgaria; Dept of Industrial Automation, University of Chemical Technology and Metallurgy, Sofia, Bulgaria; Dept of Industrial Automation, University of Chemical Technology and Metallurgy, Sofia, Bulgaria; Dept of Industrial Automation, University of Chemical Technology and Metallurgy, Sofia, Bulgaria",2021 International Conference Automatics and Informatics (ICAI),15 Dec 2021,2021,,,43,47,"Achieving interoperability is a great challenge in the area of Cyber-Physical Systems (CPSs) because of the specificities of these systems, which are complex distributed systems, mostly in the form of systems of systems that are an intersection of information and operational technologies with emergent behavior, acting in different time scales, with different granularities and accuracies, interacting with the operating environment. The main purpose of the research is to propose an information model for the development of service-oriented CPSs using OPC UA and generate sub-models for the Asset Administrative Shell (ASS). CPSs are multi-layered, service-oriented, and agent-based systems that enable the grouping of system elements at levels, reduce connections between modules, facilitate abstractions, and allocate responsibilities. The proposed approach is illustrated by an example of improving the interoperability of a pilot batch reactor.",,978-1-6654-2661-9,10.1109/ICAI52893.2021.9639480,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9639480,cyber-physical system;interoperability;service-oriented architecture;OPC UA;information model;batch reactor,Cyber-physical systems;Real-time systems;Libraries;Fourth Industrial Revolution;Security;Inductors;Informatics,cyber-physical systems;multi-agent systems;open systems;software architecture,interoperability;cyber-physical systems;complex distributed systems;operational technologies;service-oriented CPSs;agent-based systems;information modeling;OPC-UA;systems of systems;information technologies;asset administrative shell;ASS;multilayered system,,,,14,IEEE,15 Dec 2021,,,IEEE,IEEE Conferences,,,
Industrial data-collector by enabling OPC-UA standard for Industry 4.0,M. Ghazivakili; C. Demartini; C. Zunino,"Dipartimento di Automatica e Informatica, Politecnico di Torino, Torino, Italy; Dipartimento di Automatica e Informatica, Politecnico di Torino, Torino, Italy; National Research Council of Italy, CNR - IEIIT Torino, Torino, Italy",2018 14th IEEE International Workshop on Factory Communication Systems (WFCS),5 Jul 2018,2018,,,1,8,"Industrial Communication Systems have become an increasingly essential part of factory automation, motion control, networked control systems. New and real-time capable solutions are required to support the always more present Industry 4.0 paradigm: for both local and wide area networks. At the same time, standardization has also started moving in this direction: in particular, for future open and dynamic system architectures, promising activities based on OPC-UA are serious attempt to satisfy stricter requirements for interoperability and information modeling with hard real-time needs. For these reasons, in this paper the development of an OPC-UA based architecture is described: the main target is to build a “collector” able to collect data from the shop-floor and convert them in the OPC-UA standard for an agile and effective vertical integration. The subsequent analysis carried out on the testbed mainly focuses on the performance evaluation of the method. To achieve high-performance data transmission in a fair environment, a parallel communication mechanism has been proposed.",,978-1-5386-1066-4,10.1109/WFCS.2018.8402364,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8402364,Industrial Networks;Industry 4.0;OPC;OPC-UA;IoT;IIoT. RAMI4.0;IEC62541,Protocols;Servers;Standards;Industries;Business;Biological system modeling;Internet of Things,control engineering computing;data handling;factory automation;information management;Internet;motion control;open systems;production engineering computing,parallel communication mechanism;high-performance data transmission;effective vertical integration;agile integration;OPC-UA based architecture;information;interoperability;serious attempt;dynamic system architectures;standardization;wide area networks;local area networks;real-time capable solutions;networked control systems;motion control;factory automation;Industrial Communication Systems;OPC-UA standard;industrial data-collector,,10,,24,IEEE,5 Jul 2018,,,IEEE,IEEE Conferences,,,
Automatic Information Model Generation for Industrial Edge Applications Based on IEC 61499 and OPC UA,W. Dai; Y. Zhang; Y. Zhang; J. Kang; D. Huang,"Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Industrial Informatics,24 Mar 2023,2023,19,4,6093,6104,The Industry 4.0 and Industrial Internet provides vertical and horizontal integration between edge devices and industrial cloud platforms. A flexible and interoperable information model is crucial for enabling device-level intelligence as well as cloud-edge collaboration. Deep integration between the control and information model is necessary for supporting closed-loop optimization between the cloud and edge devices. This article proposes an automatic information model generation method based on the IEC 61499 and OPC unified architecture standards. Model transformation rules between two models from design time to runtime are presented. A discrete manufacturing case study is used to prove that the proposed method can significantly reduce the development time for distributed information models. The integrated control and information models at runtime can provide strong support for dynamic reconfiguration to address changing requirements.,1941-0050,,10.1109/TII.2022.3191365,"National R&D Key Program of China(grant numbers:2017YFA0700602); National Natural Science Foundation of China(grant numbers:61973216,62122048); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832496,Automatic model generation;IEC 61499;industrial edge computing;information modeling;OPC unified architecture (UA),IEC Standards;Unified modeling language;Object oriented modeling;Standards;Data models;Adaptation models;Protocols,,,,,,35,IEEE,18 Jul 2022,,,IEEE,IEEE Journals,,,
Skill-based Engineering and Control on Field-Device-Level with OPC UA,P. Zimmermann; E. Axmann; B. Brandenbourger; K. Dorofeev; A. Mankowski; P. Zanini,"Fraunhofer IGCV, Augsburg, Germany; VDMA Robotics and Automation Association, Frankfurt, Germany; CAX-Service GmbH, Weichs, Germany; fortiss GmbH, Munich, Germany; Institute Industrial IT, OWL University of Applied Sciences and Arts, Lemgo, Germany; WEISS GmbH, Buchen, Germany",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),17 Oct 2019,2019,,,1101,1108,"The configuration of current automated production systems is complex and therefore time consuming while the market demands an easy setup and adaptability due to smaller batch sizes and volatile markets. While there are different concepts in research on how to simplify the engineering process by using generic skills or capabilities of devices, run-time control is still achieved with proprietary communication protocols and commands. The concept in this paper uses skills not only in the phase of engineering but also consequently for direct and generic control of field-devices. An executable skill-metamodel therefore describes the methodological functionality which is implemented by using OPC UA due to its vendor independence as well as built-in services and information model. The implementation uses client/server-based OPC UA and the pub/sub pattern to prepare for a deterministic real-time control in conjunction with TSN, which is required by industrial automation.",1946-0759,978-1-7281-0303-7,10.1109/ETFA.2019.8869473,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869473,OPC UA;Skills;Capabilities;Engineering;Field-Device;Interoperability;Control,Automation;Interoperability;IEC Standards;Production;Semantics,client-server systems;factory automation;manufacturing systems;production engineering computing;protocols;real-time systems,automated production systems;run-time control;communication protocols;generic control;vendor independence;real-time control;industrial automation;field-device-level control;OPC UA model;information model;client-server model,,47,,27,IEEE,17 Oct 2019,,,IEEE,IEEE Conferences,,,
